Date,USDJPY BGN Curncy  (R1),SPX Index  (R2),NKY Index  (R4),DAX Index  (R3),UKX Index  (R3),MXWO Index  (R2),AS51 Index  (R3)
10/1/2004,110.54,1131.5,10985.17,3994.96,4659.6001,1062.85,3659.6001
10/4/2004,110.98,1135.17,11279.63,4033.28,4681.7998,1066.11,3693.6001
10/5/2004,111.15,1134.48,11281.83,4048.71,4707.1001,1067.62,3697.6001
10/6/2004,111.35,1142.05,11385.38,4049.6599,4706.2998,1071.9,3699.8
10/7/2004,111.24,1130.65,11354.59,4043.3601,4698.7002,1064.87,3700.8
10/8/2004,109.53,1122.14,11349.35,4015.54,4698.8999,1064.1,3686.8
10/11/2004,109.36,1124.39,,4017.8201,4685.5,1064.65,3705.7998
10/12/2004,109.69,1121.84,11201.81,3966.48,4647.8999,1056.89,3717.3999
10/13/2004,109.75,1113.65,11195.99,3976.03,4634.7998,1051.66,3725.2
10/14/2004,109.67,1103.29,11034.29,3940.46,4629.3999,1047.01,3708.9001
10/15/2004,109.33,1108.2,10982.95,3922.1101,4622.7002,1051.22,3720.5229
10/18/2004,109.26,1114.02,10965.62,3915.1699,4626.6001,1053.42,3709.8
10/19/2004,108.38,1103.23,11064.86,3964.1299,4655.2002,1052.38,3715.0002
10/20/2004,108.24,1103.66,10882.18,3912.3999,4616.3999,1051.09,3700.0999
10/21/2004,107.48,1106.49,10789.23,3934.0601,4617.3999,1054.67,3705.8999
10/22/2004,107.26,1095.74,10857.13,3935.1399,4615.3999,1049.82,3709.8999
10/25/2004,106.75,1094.81,10659.15,3854.4099,4564.5,1047.08,3681.6001
10/26/2004,106.73,1111.09,10672.46,3862.26,4583.3999,1056.37,3704.8999
10/27/2004,106.45,1125.4,10691.95,3929.03,4630.1001,1068.28,3741.2
10/28/2004,106.3,1127.44,10853.12,3959.5901,4642.7998,1072.65,3776.1001
10/29/2004,105.81,1130.2,10771.42,3960.25,4624.2002,1072.7,3778.5999
11/1/2004,106.47,1130.51,10734.71,4012.6399,4673.7998,1075.62,3791.2
11/2/2004,106.05,1130.54,10887.81,4037.5701,4693.2002,1078.92,3798.6001
11/3/2004,106.23,1143.2,,4039.04,4718.5,1090.38,3832.8999
11/4/2004,106.04,1161.67,10946.27,4041.3799,4728.2998,1102.02,3838.4998
11/5/2004,105.58,1166.17,11061.77,4063.5801,4739.7998,1108.5,3843.5002
11/8/2004,105.48,1164.89,10983.83,4068.97,4716.6001,1107.6,3822.3
11/9/2004,105.66,1164.08,10964.87,4065.3301,4717.7002,1105.49,3835.6003
11/10/2004,107.13,1162.91,10994.96,4089.1299,4734.5,1104.67,3846.4001
11/11/2004,106.62,1173.48,10846.92,4130.8101,4776.8999,1112.22,3863.3
11/12/2004,105.57,1184.17,11019.98,4143.3501,4793.8999,1122.84,3862.5
11/15/2004,105.28,1183.81,11227.57,4134.3398,4803.1001,1124.59,3880.6001
11/16/2004,105.35,1175.43,11161.75,4117.2202,4770.3999,1119.35,3869.3999
11/17/2004,104.04,1181.94,11131.29,4183.4102,4795.8999,1128.17,3875.9998
11/18/2004,104.18,1183.55,11082.42,4178.6802,4805.2998,1127.01,3879.4998
11/19/2004,103.1,1170.34,11082.84,4134.8901,4760.7998,1121.2,3872.7002
